branch,mismatch_seed,side,element,nominal_units,realized_units,relative_error
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT7,64,64.041542486073425,0.00064910134489726268
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT6,32,32.028860572363854,0.00090189288637043674
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT5,16,16.034441426394437,0.0021525891496523286
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT4,8,7.9896530677493072,-0.0012933665313366038
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT3,4,3.9662722677810516,-0.0084319330547371063
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT2,2,1.9989965984116345,-0.00050170079418276892
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,BIT1,1,0.9881385745568666,-0.0118614254431334
CLAIM_BASELINE_3SIGMA_CONVERSION,1,P,DUMMY,1,1.0197790616742135,0.019779061674213505
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT7,64,64.025370922426987,0.00039642066292167044
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT6,32,32.041097540151753,0.0012842981297422895
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT5,16,16.010147329246784,0.00063420807792402556
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT4,8,7.9829583587275899,-0.0021302051590512683
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT3,4,3.9885077262962434,-0.0028730684259391515
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT2,2,2.0098604135252236,0.0049302067626117996
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,BIT1,1,0.99331388056734671,-0.0066861194326532924
CLAIM_BASELINE_3SIGMA_CONVERSION,1,N,DUMMY,1,1.0058548837308194,0.0058548837308194379
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT7,64,64.054073611812058,0.00084490018456340188
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT6,32,31.982064472237397,-0.00056048524258134336
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT5,16,15.931250346063702,-0.0042968533710185941
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT4,8,8.0023112877800635,0.00028891097250793862
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT3,4,3.9864202866526588,-0.0033949283368353012
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT2,2,1.9846961877768865,-0.0076519061115567499
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,BIT1,1,0.9906342390601186,-0.0093657609398813957
CLAIM_BASELINE_3SIGMA_CONVERSION,2,P,DUMMY,1,1.002685664611443,0.0026856646114430394
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT7,64,64.021261691626734,0.00033221393166771307
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT6,32,32.06198479992868,0.0019370249977712639
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT5,16,15.987088826762132,-0.00080694832736671884
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT4,8,8.0279576033173541,0.0034947004146692606
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT3,4,3.9885677944179054,-0.002858051395523642
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT2,2,1.9856787663756972,-0.0071606168121514102
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,BIT1,1,1.0064224668099409,0.0064224668099408522
CLAIM_BASELINE_3SIGMA_CONVERSION,2,N,DUMMY,1,1.0016380849060422,0.0016380849060422253
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT7,64,63.983442125325674,-0.00025871679178635087
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT6,32,31.931627005954631,-0.0021366560639177745
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT5,16,15.988618906884346,-0.00071131831972837123
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT4,8,7.9498480414075541,-0.0062689948240557403
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT3,4,4.0035804132582484,0.00089510331456210679
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT2,2,2.0022769260994413,0.0011384630497206505
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,BIT1,1,0.99799018655681215,-0.0020098134431878467
CLAIM_BASELINE_3SIGMA_CONVERSION,3,P,DUMMY,1,1.0061499973804062,0.0061499973804062247
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT7,64,64.020612606941086,0.00032207198345446386
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT6,32,31.967089102533894,-0.0010284655458158154
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT5,16,16.010621833310616,0.00066386458191347586
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT4,8,7.9791410331529402,-0.0026073708558824737
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT3,4,4.0011614987606912,0.00029037469017278994
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT2,2,1.9800940742208564,-0.0099529628895718147
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,BIT1,1,1.0030695256779385,0.0030695256779385005
CLAIM_BASELINE_3SIGMA_CONVERSION,3,N,DUMMY,1,1.0073711950172501,0.0073711950172501428
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT7,64,63.938539207606901,-0.00096032488114217163
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT6,32,32.039283238399491,0.0012276011999841074
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT5,16,16.00680414586909,0.0004252591168181219
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT4,8,8.0023822438903558,0.0002977804862944744
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT3,4,4.0020529365505642,0.00051323413764103876
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT2,2,2.0103668230045768,0.0051834115022884042
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,BIT1,1,1.0105568473407149,0.010556847340714937
CLAIM_BASELINE_3SIGMA_CONVERSION,4,P,DUMMY,1,0.99754175919632115,-0.0024582408036788461
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT7,64,63.887977745556498,-0.001750347725679724
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT6,32,31.939892380900705,-0.0018783630968529641
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT5,16,15.983842770406397,-0.0010098268496001594
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT4,8,7.9977111674417243,-0.00028610406978446523
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT3,4,4.0148879560083266,0.0037219890020816493
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT2,2,1.9971363651744061,-0.0014318174127969652
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,BIT1,1,1.0117917889014763,0.011791788901476252
CLAIM_BASELINE_3SIGMA_CONVERSION,4,N,DUMMY,1,1.0069028915396818,0.0069028915396818213
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT7,64,64.045442820937097,0.00071004407714214679
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT6,32,32.006281538488551,0.00019629807776722075
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT5,16,16.035535759091321,0.002220984943207549
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT4,8,7.9681646615963162,-0.0039794173004604749
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT3,4,3.983874730519839,-0.0040313173700402549
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT2,2,1.9884135931751936,-0.0057932034124031917
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,BIT1,1,0.99800560431431362,-0.0019943956856863787
CLAIM_BASELINE_3SIGMA_CONVERSION,5,P,DUMMY,1,0.9955196155927406,-0.0044803844072593968
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT7,64,64.066655058155021,0.0010414852836722055
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT6,32,32.024530105311428,0.00076656579098210997
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT5,16,15.987362711234226,-0.00078983054786085916
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT4,8,8.016980604488614,0.002122575561076756
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT3,4,3.9981782904991099,-0.00045542737522252796
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT2,2,2.0109326900495104,0.0054663450247551815
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,BIT1,1,0.9947741681754344,-0.0052258318245655966
CLAIM_BASELINE_3SIGMA_CONVERSION,5,N,DUMMY,1,1.0106652887587053,0.010665288758705316
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT7,64,64.109553408762395,0.0017117720119124158
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT6,32,32.037456118814681,0.0011705037129587925
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT5,16,16.00889543282403,0.00055596455150186408
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT4,8,8.0067324670353699,0.00084155837942123668
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT3,4,4.0349091236805705,0.0087272809201426327
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT2,2,2.0183344662973983,0.0091672331486991609
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,BIT1,1,0.99311249632435916,-0.0068875036756408381
CLAIM_BASELINE_3SIGMA_CONVERSION,6,P,DUMMY,1,1.0063653754085125,0.0063653754085124525
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT7,64,64.134717012616065,0.002104953322126013
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT6,32,32.016145452096865,0.00050454537802702148
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT5,16,16.002894219927864,0.00018088874549149203
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT4,8,8.0008565459569176,0.00010706824461470532
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT3,4,3.9999758158064243,-6.0460483939372978e-06
CLAIM_BASELINE_3SIGMA_CONVERSION,6,N,BIT2,2,1.9999172180872105,-4.1390956394771194e-05
