relative_path,bytes,sha256
01_MC200_TT_LOW_W4/config/cdac_mismatch_model.yaml,2700,6e15822f9689ea72feb9bbe86b9146dec7ddbe282d37503a5eeb42f81a75e968
01_MC200_TT_LOW_W4/config/current_mc200_contract.json,1342,87af10dd3788c5fdc99929540458fff9ca7ba8f90de84e912426c0e24beb4e2e
01_MC200_TT_LOW_W4/config/environment_fingerprint.json,1262,a642893359807a3b20b044ceb583178b92f73467979130270194a549c5ce4872
01_MC200_TT_LOW_W4/config/fast64_v2_contract.json,2381,a6b092e268deee02de5c1627a2de35aba03909418bdbc9a000c54a1746ff2f46
01_MC200_TT_LOW_W4/config/frozen_dynamic_config.yaml,2348,2b7efb9bed89d0aed87472185a96eb1bfd8172273be22cee89594815e6fdc007
01_MC200_TT_LOW_W4/config/mc200_low_w4_contract.json,8767,ac23afe991f3da98959e9fcb459fd905065e22e382485ca4d702644092117fcd
01_MC200_TT_LOW_W4/config/mc200_low_w4_plot_resolved_ranges.json,507,1fe556596d60ac74112481ab9616830e54626213a20ebe335d3c459add18136d
01_MC200_TT_LOW_W4/config/mc_seeds.csv,5812,6f2a0f43608ca4198a2d20dba34d1a239a7c9e3cf6ed80fc9a864aa5d4e9543d
01_MC200_TT_LOW_W4/config/ngspice_userinit/.spiceinit,154,e4fedb09e98dc2f3df539fe215df79f4977d8fb3f7bcdd61c606d8bb90da1325
01_MC200_TT_LOW_W4/config/noise_model.yaml,2679,5e96592de86c239db9334c98f5c5d4d4c6b000eece41673de3c58ab148897f6e
01_MC200_TT_LOW_W4/config/noise_seeds.csv,6515,bf1af85899e04ff8f19016ac8d8d7f86f0fd1781bcf3feb4245b1d27f42b0112
01_MC200_TT_LOW_W4/config/plot_contract.json,2798,404c6c93d79a903aca609fd6f5fd873c73cb3a2150b240f5763d61a1684c98e7
01_MC200_TT_LOW_W4/config/plot_style.yaml,216,6ad9e1aa57f508075547673cbee45c9af9c2d86742f804e8045631cffa7ff676
01_MC200_TT_LOW_W4/config/source_load_model.yaml,1012,c0609a942035182d8978082ff0e67285fafcf9126b04dd712ba67f8ab14da2a5
01_MC200_TT_LOW_W4/config/timing_tt_3p3_27c.json,1664,b47114c90c2ea957e3f5f80eaeb2dd04e344646d29d49eb5fb8811273790ebee
01_MC200_TT_LOW_W4/csv/cdac_mismatch_weights.csv,549745,db6195e8cf650819603c0aba6e7d08d6bb03830e512a598fbe05699bfa36b824
01_MC200_TT_LOW_W4/csv/codes_all_13600.csv,4800985,d98c00ade9e955ca7861ed9f409c82e5069620885446426c6ebc20943769e11d
01_MC200_TT_LOW_W4/csv/codes_fft_retained_12800.csv,4522932,73e7fc9fe837a807ae020fb3fce77ba03edd81c19bc1de2c823a1486593f2d00
01_MC200_TT_LOW_W4/csv/first_conversion_path_1600.csv,981911,bd4ae93883b0067e92b1d04d801d52df478812d21ffa185b3865fa9915783075
01_MC200_TT_LOW_W4/csv/job_codes/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4.csv,24196,782bc5f5781a70bb8e686833378128166631ddf302ad67ea1dc92f8df2fd8f32
01_MC200_TT_LOW_W4/csv/job_codes/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4.csv,24184,3206903252b3786023826dac7031edfc8c7af13113cdcf6c17b6fea744e3d351
01_MC200_TT_LOW_W4/csv/job_codes/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4.csv,24182,98d8a5bf35222c2def78fd3b37780b867f5c916c8b9a730dc38fe4542a9a4b5a
